,sbj_id,id_learning_sen,target_order,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
0,1,17hf4,1,vugipogno,2,399,172.0,172
1,1,2hf7,1,zudulondo,1,178,178.0,178
2,1,5hf10,1,vutuvenso,5,1394,,1394
3,1,15lf7,1,"cridolinna,",3,799,331.0,331
4,1,4sf7,1,"ceburizia,",4,867,254.0,254
5,1,15lf10,2,cridolinna,2,388,,388
6,1,11hf5,1,mernidallo,2,415,254.0,254
7,1,9lf4,1,"cettobiaba,",2,379,,379
8,1,2hf2,2,zudulondo:,1,240,240.0,240
9,1,3lf1,1,mudegespa,2,449,285.0,285
10,1,3lf6,2,mudegespa,2,409,215.0,215
11,1,3lf10,3,mudegespa;,3,626,,371
12,1,13sf5,1,"dorguvario,",1,98,98.0,98
13,1,10sf7,1,cribotista,4,1071,262.0,262
14,1,13sf6,2,dorguvario,3,720,251.0,251
15,1,1sf4,1,rugobenza,3,743,,743
16,1,18lf4,1,pobedepre,1,186,186.0,186
17,1,10sf10,2,cribotista,2,476,,476
18,1,15lf1,3,cridolinna,1,327,327.0,327
19,1,8hf10,1,"vicrazento,",1,148,148.0,148
20,1,7sf4,1,clivuniere,5,1283,309.0,309
21,1,16sf7,1,cevecismo,2,336,112.0,112
22,1,17hf7,2,"vugipogno,",1,231,231.0,231
23,1,13sf7,3,dorguvario:,1,223,223.0,223
24,1,3lf7,4,mudegespa,0,0,,0
25,1,11hf2,2,mernidallo,3,762,480.0,480
26,1,7sf10,2,clivuniere,0,0,,0
27,1,4sf1,2,ceburizia,1,208,208.0,208
28,1,7sf2,3,"clivuniere,",2,352,,352
29,1,8hf8,2,vicrazento,1,212,212.0,212
30,1,15lf3,4,cridolinna,0,0,,0
31,1,13sf10,4,dorguvario,0,0,,0
32,1,14hf6,1,slibadosto,1,202,202.0,202
33,1,11hf3,3,mernidallo,1,237,237.0,237
34,1,11hf8,4,"mernidallo,",0,0,,0
35,1,1sf10,2,rugobenza,2,348,114.0,114
36,1,7sf1,4,"clivuniere,",0,0,,0
37,1,8hf6,3,"vicrazento,",1,247,247.0,247
38,1,7sf3,5,clivuniere,2,343,93.0,93
39,1,18lf7,2,pobedepre,1,175,175.0,175
40,1,16sf3,2,cevecismo:,4,708,,411
41,1,2hf1,3,zudulondo,1,353,353.0,353
42,1,10sf9,3,cribotista:,1,237,237.0,237
43,1,8hf1,4,"vicrazento,",0,0,,0
44,1,2hf4,4,zudulondo,0,0,,0
45,1,13sf4,5,dorguvario,1,159,159.0,159
46,1,7sf8,6,clivuniere,1,166,166.0,166
47,1,8hf7,5,"vicrazento,",1,199,199.0,199
48,1,11hf7,5,mernidallo,0,0,,0
49,1,6lf8,1,tobufolmo,1,312,312.0,312
50,1,17hf9,3,vugipogno,0,0,,0
51,1,14hf4,2,slibadosto,2,522,138.0,138
52,1,4sf5,3,"ceburizia,",2,379,243.0,243
53,1,13sf2,6,dorguvario,1,114,114.0,114
54,1,12lf5,1,"pubbanasio,",1,210,210.0,210
55,1,5hf3,2,vutuvenso,0,0,,0
56,1,5hf6,3,vutuvenso,1,239,239.0,239
57,1,17hf3,4,vugipogno,1,214,214.0,214
58,1,9lf10,2,"cettobiaba,",1,411,411.0,411
59,1,15lf6,5,cridolinna,1,188,188.0,188
60,1,9lf1,3,"cettobiaba,",2,344,193.0,193
61,1,9lf2,4,cettobiaba,1,299,299.0,299
62,1,18lf2,3,pobedepre,0,0,,0
63,1,14hf5,3,slibadosto,1,153,153.0,153
64,1,2hf5,5,zudulondo,0,0,,0
65,1,8hf5,6,vicrazento,1,230,230.0,230
66,1,5hf4,4,vutuvenso,0,0,,0
67,1,3lf2,5,mudegespa,2,550,307.0,307
68,1,5hf5,5,vutuvenso,1,158,158.0,158
69,1,2hf10,6,zudulondo,1,148,148.0,148
70,1,5hf1,6,vutuvenso,0,0,,0
71,1,11hf4,6,"mernidallo,",2,331,,331
72,1,14hf8,4,slibadosto,3,737,,737
73,1,3lf8,6,mudegespa,1,82,82.0,82
74,1,6lf5,2,tobufolmo,0,0,,0
75,1,10sf1,4,"cribotista,",0,0,,0
76,1,6lf6,3,tobufolmo,0,0,,0
77,1,6lf3,4,tobufolmo,1,331,331.0,331
78,1,7sf5,7,clivuniere,2,549,,549
79,1,12lf9,2,pubbanasio,1,136,136.0,136
80,1,16sf5,3,cevecismo,1,301,301.0,301
81,1,16sf4,4,"cevecismo,",3,902,266.0,266
82,1,18lf1,4,pobedepre:,3,527,188.0,188
83,1,12lf4,3,"pubbanasio,",0,0,,0
84,1,14hf7,5,slibadosto,2,334,,334
85,1,1sf6,3,rugobenza,1,257,257.0,257
86,1,15lf2,6,cridolinna,0,0,,0
87,1,9lf7,5,cettobiaba,4,1339,,583
88,1,12lf10,4,pubbanasio,1,213,213.0,213
89,1,6lf9,5,"tobufolmo,",1,157,157.0,157
90,1,5hf8,7,vutuvenso,1,309,309.0,309
91,1,9lf5,6,cettobiaba,1,198,198.0,198
92,1,3lf5,7,mudegespa,0,0,,0
93,1,6lf1,6,tobufolmo,1,283,283.0,283
94,1,16sf1,5,"cevecismo,",1,262,262.0,262
95,1,6lf7,7,tobufolmo,1,225,225.0,225
96,1,10sf5,5,cribotista:,1,179,179.0,179
97,1,17hf10,5,vugipogno,1,255,255.0,255
98,1,1sf5,4,rugobenza,1,267,267.0,267
99,1,10sf3,6,"cribotista,",4,767,220.0,220
100,1,5hf9,8,vutuvenso,1,236,236.0,236
101,1,17hf5,6,vugipogno,1,345,345.0,345
102,1,18lf10,5,pobedepre,2,449,,449
103,1,15lf9,7,cridolinna:,2,330,230.0,230
104,1,6lf10,8,"tobufolmo,",4,1121,139.0,139
105,1,14hf1,6,slibadosto:,0,0,,0
106,1,16sf6,6,cevecismo,3,699,230.0,230
107,1,11hf10,7,mernidallo,1,190,190.0,190
108,1,14hf9,7,slibadosto,0,0,,0
109,1,4sf4,4,ceburizia,1,162,162.0,162
110,1,5hf2,9,vutuvenso,1,141,141.0,141
111,1,8hf3,7,vicrazento,1,125,125.0,125
112,1,3lf9,8,mudegespa,2,1479,833.0,833
113,1,8hf2,8,vicrazento,4,1227,,1227
114,1,14hf2,8,slibadosto,1,198,198.0,198
115,1,8hf4,9,vicrazento,0,0,,0
116,1,8hf9,10,vicrazento,0,0,,0
117,1,7sf7,8,clivuniere,2,512,,512
118,1,16sf10,7,cevecismo,1,269,269.0,269
119,1,13sf8,7,dorguvario,3,1024,,734
120,1,4sf10,5,ceburizia,0,0,,0
121,1,18lf8,6,pobedepre,13,2668,334.0,334
122,1,4sf6,6,ceburizia,5,922,255.0,255
123,1,13sf9,8,dorguvario,0,0,,0
124,1,17hf8,7,vugipogno,0,0,,0
125,1,12lf8,5,pubbanasio,0,0,,0
126,1,18lf9,7,pobedepre,0,0,,0
127,1,13sf1,9,dorguvario,0,0,,0
128,1,15lf5,8,cridolinna,0,0,,0
129,1,2hf6,7,zudulondo,0,0,,0
130,1,5hf7,10,vutuvenso,0,0,,0
131,1,1sf2,5,rugobenza,6,1658,,999
132,1,2hf9,8,zudulondo:,0,0,,0
133,1,4sf9,7,ceburizia,0,0,,0
134,1,18lf6,8,pobedepre,0,0,,0
135,1,6lf2,9,tobufolmo,0,0,,0
136,1,17hf2,8,vugipogno,0,0,,0
137,1,14hf3,9,"slibadosto,",0,0,,0
138,1,1sf7,6,rugobenza,0,0,,0
139,1,1sf9,7,rugobenza,0,0,,0
140,1,18lf5,9,pobedepre,2,551,,551
141,1,3lf3,9,"mudegespa,",2,304,,304
142,1,11hf9,8,mernidallo,1,310,310.0,310
143,1,2hf3,9,zudulondo,2,591,276.0,276
144,1,10sf8,7,cribotista,1,281,281.0,281
145,1,2hf8,10,zudulondo:,0,0,,0
146,1,12lf7,6,pubbanasio,0,0,,0
147,1,15lf8,9,cridolinna,1,250,250.0,250
148,1,11hf1,9,mernidallo,0,0,,0
149,1,16sf2,8,cevecismo,0,0,,0
150,1,9lf8,7,cettobiaba:,1,171,171.0,171
151,1,16sf9,9,cevecismo,0,0,,0
152,1,1sf3,8,rugobenza,1,225,225.0,225
153,1,4sf2,8,ceburizia,0,0,,0
154,1,15lf4,10,cridolinna,1,253,253.0,253
155,1,18lf3,10,pobedepre,1,260,260.0,260
156,1,12lf1,7,pubbanasio,1,259,259.0,259
157,1,10sf6,8,cribotista:,1,252,252.0,252
158,1,14hf10,10,slibadosto,3,624,,400
159,1,7sf9,9,clivuniere,0,0,,0
160,1,9lf3,8,cettobiaba,2,382,,382
161,1,17hf1,9,vugipogno,1,215,215.0,215
162,1,1sf1,9,"rugobenza,",0,0,,0
163,1,10sf2,9,cribotista,0,0,,0
164,1,10sf4,10,cribotista,0,0,,0
165,1,4sf3,9,ceburizia,1,221,221.0,221
166,1,12lf3,8,pubbanasio,1,289,289.0,289
167,1,9lf9,9,"cettobiaba,",0,0,,0
168,1,7sf6,10,clivuniere,1,154,154.0,154
169,1,12lf6,9,pubbanasio,1,166,166.0,166
170,1,16sf8,10,cevecismo:,2,378,153.0,153
171,1,9lf6,10,"cettobiaba,",1,291,291.0,291
172,1,11hf6,10,mernidallo,0,0,,0
173,1,3lf4,10,mudegespa,0,0,,0
174,1,12lf2,10,pubbanasio,1,242,242.0,242
175,1,4sf8,10,ceburizia,1,314,314.0,314
176,1,6lf4,10,tobufolmo,0,0,,0
177,1,13sf3,10,dorguvario,1,274,274.0,274
178,1,17hf6,10,vugipogno,0,0,,0
179,1,1sf8,10,rugobenza:,0,0,,0
